Liszt, Franz;Künstlerfestzug;24234
Liszt, Franz;Ländler in A flat major;24235
Liszt, Franz;Lasst mich ruhen;24236
Liszt, Franz;Leier und Schwert nach Carl Maria von Weber 'Heroïde';24237
Liszt, Franz;Lenore;24238
Liszt, Franz;Lob der Tränen, Lied von Franz Schubert;24239
Liszt, Franz;Il m'aimait tant!;24240
Liszt, Franz;Magyar rapszódiák;24241
Liszt, Franz;Marche au supplice de la « Symphonie fantastique » de Hector Berlioz;24242
Liszt, Franz;Marche de Rákóczy;24243
Liszt, Franz;Marche funèbre et cavatine de « Lucia di Lammermoor » de Donizetti;24244
Liszt, Franz;Mazeppa;24245
Liszt, Franz;Mazeppa;24246
Liszt, Franz;6 Melodien von Franz Schubert;24247
Liszt, Franz;Mélodies hongroises d'après Franz Schubert;24248
Liszt, Franz;Mendelssohns Lieder;24249
Liszt, Franz;Mephisto Waltz No.4;24250
Liszt, Franz;Missa pro organo lectarum celebrationi missarum adjumento inserviens;24251
Liszt, Franz;La moine / Mélodies de Meyerbeer;24252
Liszt, Franz;Morceau de salon;24253
Liszt, Franz;Song, Muttergottes - Sträußlein zum Maimonate, S.316;24254
Liszt, Franz;Nimm einen Strahl der Sonne;24255
Liszt, Franz;O Meer im Abendstrahl;24256
Liszt, Franz;O du mein holder Abendstern: Recitativ und Romanze aus Wagners Tännhauser;24257
Liszt, Franz;Ora pro nobis;24258
Liszt, Franz;2 Orchesterstücke aus Christus, S.498b.;24259
Liszt, Franz;Orpheus;24260
Liszt, Franz;Ouverture de l'opéra « Guillaume Tell » de Rossini;24261
Liszt, Franz;Ouvertüre zu Tannhäuser von Richard Wagner;24262
Liszt, Franz;Ouvertüre zur Oper Oberon von Carl Maria von Weber;24263
Liszt, Franz;La pastorella dell'Alpi e Li marinari. 2&lt;sup&gt;ième&lt;/sup&gt; fantaisie sur des motifs des « Soirées musicales » de Rossini;24264
Liszt, Franz;Phantasiestück über Motive aus Wagners Rienzi;24265
Liszt, Franz;Pilgerchor aus Wagners Tannhäuser;24266
Liszt, Franz;Pio IX;24267
Liszt, Franz;Polonaise aus Tschaikowskis Oper Eugen Onegin;24268
Liszt, Franz;Präludium und Fuge über den Namen BACH;24269
Liszt, Franz;Les Préludes;24270
Liszt, Franz;Prometheus;24271
Liszt, Franz;Réminiscences de « Lucrezia Borgia ». Grande fantaisie sur des motifs de l'opéra de Gaetano Donizetti [S.400/2];24272
Liszt, Franz;Réminiscences des Huguenots;24273
